title,protocol_id,phase,therapeutic_area,status,start_date,end_date,budget,fte_allocation,fsp_allocation,priority,sites_count,enrollment_target,id,created_date,updated_date,created_by_id,created_by,is_sample
"Breast Cancer Combination Therapy","ONC-007","Phase I","Oncology","Planning","2024-07-15","2025-07-15","","75","25","High","15","90","689538c27297fd935b327022","2025-08-07T23:37:38.854000","2025-08-07T23:37:38.854000","6893ff71bab8e9bef31184be","rafael.abbariao@gmail.com",""
"Influenza Vaccine Efficacy Study","VAC-008","Phase III","Vaccines","Ongoing","2024-01-05","2024-12-20","","45","55","Medium","35","280","689538c27297fd935b327023","2025-08-07T23:37:38.854000","2025-08-07T23:37:38.854000","6893ff71bab8e9bef31184be","rafael.abbariao@gmail.com",""
"Hypertension Management Study","IM-009","Registration","Internal Medicine","Ongoing","2023-11-01","2024-11-01","","40","60","High","60","500","689538c27297fd935b327024","2025-08-07T23:37:38.854000","2025-08-07T23:37:38.854000","6893ff71bab8e9bef31184be","rafael.abbariao@gmail.com",""
"Lupus Treatment Optimization","II-010","Phase III","Inflammation & Immunology","Planning","2024-05-20","2025-12-31","","55","45","Medium","40","320","689538c27297fd935b327025","2025-08-07T23:37:38.854000","2025-08-07T23:37:38.854000","6893ff71bab8e9bef31184be","rafael.abbariao@gmail.com",""
"Prostate Cancer Immunotherapy","ONC-011","Phase II","Oncology","Ongoing","2024-02-01","2025-08-15","","70","30","High","28","200","689538c27297fd935b327026","2025-08-07T23:37:38.854000","2025-08-07T23:37:38.854000","6893ff71bab8e9bef31184be","rafael.abbariao@gmail.com",""
"Universal Flu Vaccine Development","VAC-012","Phase I","Vaccines","Planning","2024-08-01","2025-02-28","","85","15","Medium","8","60","689538c27297fd935b327027","2025-08-07T23:37:38.854000","2025-08-07T23:37:38.854000","6893ff71bab8e9bef31184be","rafael.abbariao@gmail.com",""
"Non-Project Specific Activities","NPS-001","Registration","Internal Medicine","Ongoing","2024-01-01","2024-12-31","","100","","Medium","","","6895624450faa84b8ded9256","2025-08-08T02:34:44.536000","2025-08-08T02:34:44.536000","6893ff71bab8e9bef31184be","rafael.abbariao@gmail.com",""
"Non-Project Specific Activities - Internal Medicine","NPS-IM-001","Phase I","Internal Medicine","Ongoing","2024-01-01","2024-12-31","","60","40","Medium","","","68957f9e34c309c8a23bef94","2025-08-08T04:39:58.192000","2025-08-08T04:39:58.192000","6893ff71bab8e9bef31184be","rafael.abbariao@gmail.com",""
"Non-Project Specific Activities - Inflammation & Immunology","NPS-II-001","Phase I","Inflammation & Immunology","Ongoing","2024-01-01","2024-12-31","","60","40","Medium","","","68957f9e34c309c8a23bef95","2025-08-08T04:39:58.192000","2025-08-08T04:39:58.192000","6893ff71bab8e9bef31184be","rafael.abbariao@gmail.com",""
"Non-Project Specific Activities - Vaccines","NPS-VAC-001","Phase I","Vaccines","Ongoing","2024-01-01","2024-12-31","","60","40","Medium","","","68957f9e34c309c8a23bef96","2025-08-08T04:39:58.192000","2025-08-08T04:39:58.192000","6893ff71bab8e9bef31184be","rafael.abbariao@gmail.com",""
"Non-Project Specific Activities - Oncology","NPS-ONC-001","Phase I","Oncology","Ongoing","2024-01-01","2024-12-31","","60","40","Medium","","","68957f9e34c309c8a23bef97","2025-08-08T04:39:58.192000","2025-08-08T04:39:58.192000","6893ff71bab8e9bef31184be","rafael.abbariao@gmail.com",""
